# Alien Soldier ROM binary data segments (binclude addresses)
# Format: name,start,end,subdir
# Generated from alien_soldier_j.lst

# === Compressed tiles (LZSS) (artcomp/) ===
PCMPart4,0xB0000,0xB8000,sound
PCMPart5,0xB8000,0xC0000,sound
PCMPart6,0xC0000,0xC8000,sound
PCMPart7,0xC8000,0xD0000,sound
PCMPart8,0xD0000,0xD8000,sound
PCMPart9,0xD8000,0xD9A5E,sound

# === Other data (other/) ===
unused_1,0x945E,0x9478,other
unused_2,0xD266,0xD286,other
unused_3,0x1115A,0x11170,other
unused_4,0x1D544,0x1D5E0,other
unused_5,0x225CC,0x23CBA,other
unused_6,0x2665E,0x2667C,other
unused_7,0x2A49E,0x2A4BE,other
unused_8,0x40D2E,0x40D34,other
unused_9,0x4283C,0x4285C,other
unused_10,0x83284,0x8329C,other
byte_182F24,0x182F24,0x184378,other
byte_184378,0x184378,0x18454C,other
byte_18BE42,0x18BE42,0x18C5E6,other
byte_18C72C,0x18C72C,0x18CC50,other
byte_18DA38,0x18DA38,0x18DF92,other
byte_18DFFA,0x18DFFA,0x18E24C,other
byte_18E36C,0x18E36C,0x18E5D2,other
byte_1C09B2,0x1C09B2,0x1C0FB2,other
byte_1E587,0x1E587,0x1E6C6,other
byte_5A36,0x5A36,0x675D,other
byte_675D,0x675D,0x7484,other
byte_BE1E,0xBE1E,0xBF2C,other
byte_C05C,0xC05C,0xC1A2,other
word_1A4D8,0x1A4D8,0x1A6B8,other
word_1A754,0x1A754,0x1A882,other
word_1A882,0x1A882,0x1A9B0,other
word_1A9D4,0x1A9D4,0x1AB24,other
word_1AC62,0x1AC62,0x1AD8E,other
word_1AD8E,0x1AD8E,0x1AE96,other
word_1AE96,0x1AE96,0x1AFD0,other
word_1B03E,0x1B03E,0x1B2BA,other
word_1B2BA,0x1B2BA,0x1B3F4,other
word_1B514,0x1B514,0x1B714,other
word_20666,0x20666,0x20910,other
word_210CE,0x210CE,0x212AE,other
word_21BC0,0x21BC0,0x21F2A,other
word_23EAE,0x23EAE,0x24A50,other
word_24A50,0x24A50,0x25142,other
word_25142,0x25142,0x259C8,other
word_259C8,0x259C8,0x260A2,other
word_26EBC,0x26EBC,0x26FBC,other
word_26FBC,0x26FBC,0x271BC,other
word_36A4,0x36A4,0x38A4,other
word_383F8,0x383F8,0x38518,other
word_4165C,0x4165C,0x417D8,other
word_454F2,0x454F2,0x45696,other
word_4E944,0x4E944,0x4EAC4,other
word_508A2,0x508A2,0x509B0,other
word_52D68,0x52D68,0x52EE2,other
word_563E6,0x563E6,0x566B6,other
word_572B0,0x572B0,0x573E6,other
word_5886C,0x5886C,0x589E8,other
word_5A43E,0x5A43E,0x5CB72,other
word_998C,0x998C,0x9C4C,other
word_E99BE,0xE99BE,0xE9C2E,other
word_EC82E,0xEC82E,0xECB1C,other
dword_27A2E,0x27A2E,0x29E2E,other
